alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
0.1,0.5,0.1,100.0,1,uniform_noise,50.0,0.5,8e-05,20000,0.08445843050437238,0.9999420291703106,0.27051661373019886,0.10723514377945705,-0.02140066527273746,1.14098300795754,82,80,82,False,0.0,51.3234226357453,49.03969995503058,0.4117479359135104,0.5546875,0.0,0.8142688971521009,-0.9993794039706526,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.25,100.0,1,uniform_noise,50.0,0.5,8e-05,20000,0.20224472767576668,0.9995835980358226,0.2696477203971125,0.12846130178711798,-0.020839062681240764,1.3705934672262432,82,71,82,False,0.0,51.17315564639773,49.175854013777084,0.35176026405878685,0.54296875,0.0,0.5676651545731694,-0.9996895369137261,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.5,100.0,1,uniform_noise,50.0,0.5,8e-05,20000,0.36869112828100653,0.9972314030128036,0.26595935601644327,0.17648350054073372,-0.02044404357992127,1.7759222466034799,82,60,82,False,0.0,50.98560889652556,49.29669941090196,0.29229624327559045,0.53515625,0.0,0.3321309934674612,-0.9997660320973114,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.75,100.0,1,uniform_noise,50.0,0.5,8e-05,20000,0.5029111161563817,0.9937899489439861,0.2604186958183356,0.23882059209745746,-0.02029577900071257,2.1979059308105775,82,47,82,False,0.0,50.84962639215723,49.328308761634226,0.2578880050587177,0.53125,0.0,0.21285767488143548,-0.9997678891750604,True,False,True,False,False,transition -> inflation -> residual_gradient,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,1,uniform_noise,50.0,0.5,8e-05,20000,0.6111709196363863,0.9890289297042384,0.2536825510827479,0.31411837981583574,-0.02022949453149694,2.615508934715713,82,41,82,False,0.0,50.75745700694434,49.359996978225695,0.2351957826953474,0.5,0.0,0.14879482841187514,-0.9997487850239278,True,False,True,False,False,transition -> inflation -> residual_gradient,,50.0,256,0.4,42
0.1,0.5,0.1,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.0427170902005987,0.9999706431027396,0.27063671129768807,0.09975875084292476,-0.021318396259648088,1.0690433779548625,82,81,82,False,0.0,51.38366078149546,48.98273611537444,0.4384033266597648,0.546875,0.0,0.9236563894140737,-0.998858530789826,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.25,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.10467956212017765,0.9999090218548804,0.27042449649946737,0.10624440833965458,-0.020479027503854948,1.177528943037817,82,79,82,False,0.0,51.299270618918285,49.06876638286635,0.4000281706039704,0.55078125,0.0,0.7658203405203059,-0.9995039116302845,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.5,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.20195631651939494,0.9995850862288885,0.26965128387515147,0.12126137296801456,-0.019602708683878287,1.3699778724545395,82,71,82,False,0.0,51.178377142915366,49.17962791147751,0.35198653050568285,0.54296875,0.0,0.5683207820534704,-0.9997065190608085,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.75,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.2902496829823704,0.9987848761073844,0.26820101254077294,0.1410965517576383,-0.01910530179930212,1.5708761186160838,82,66,82,False,0.0,51.07737027084512,49.261091319001835,0.3177488930258422,0.54296875,0.0,0.43019286064473017,-0.9997623928496944,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.3682967823630214,0.997253325870433,0.2659826303035766,0.16507757744920534,-0.018811617386164957,1.7748025025939538,82,60,82,False,0.0,50.99195795144163,49.29748947947958,0.2925319550136876,0.53515625,0.0,0.33283006799239634,-0.9997809188452722,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.1,100.0,3,uniform_noise,50.0,0.5,8e-05,20000,0.021530823353485645,0.9999609275071343,0.2706820852694313,0.09712450104097374,-0.02147374530762564,1.0341746949507746,82,82,82,False,0.0,51.41492464896951,48.95070485174409,0.45327305894531106,0.546875,0.0,0.9845486010659292,-0.9977951298206701,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.25,100.0,3,uniform_noise,50.0,0.5,8e-05,20000,0.05316774447767018,0.999972112671707,0.2706157612434999,0.09851994325453092,-0.020697671877176974,1.086647487521823,82,81,82,False,0.0,51.37081415307828,48.99990608492003,0.43148694065723103,0.55078125,0.0,0.8951374457796045,-0.9990942866338459,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.5,100.0,3,uniform_noise,50.0,0.5,8e-05,20000,0.10453102325607005,0.9999093039255763,0.2704245907498269,0.10216201406128321,-0.019682903350669988,1.1772636067199551,82,79,82,False,0.0,51.302626928247676,49.0714460231143,0.400183181630369,0.55078125,0.0,0.7662573031105615,-0.9995222957503871,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.75,100.0,3,uniform_noise,50.0,0.5,8e-05,20000,0.15419108422090025,0.9998138748488895,0.2701254514206021,0.10738454685179114,-0.018930863718045136,1.2721016103536618,82,76,82,False,0.0,51.240433932143624,49.13196373024261,0.3740930727389473,0.55078125,0.0,0.6587684496667077,-0.999659593858819,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,3,uniform_noise,50.0,0.5,8e-05,20000,0.20167070885843535,0.9995854410533416,0.26965302685845294,0.11408211296581033,-0.01836877633708988,1.3693728632701816,82,71,82,False,0.0,51.183553253695464,49.183420779592765,0.3522136140111509,0.54296875,0.0,0.5689934862752062,-0.9997235035299875,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.1,100.0,4,uniform_noise,50.0,0.5,8e-05,20000,0.010861818418599104,0.9999961905565947,0.2707107749154058,0.09632809622304776,-0.021663178208111575,1.0170669573683715,82,82,82,False,0.0,51.43061867965553,48.93350771787186,0.46112080077060286,0.52734375,0.0,1.0166544191395643,-0.995665237577437,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.25,100.0,4,uniform_noise,50.0,0.5,8e-05,20000,0.026795279082712644,0.999963108731034,0.2706695598979533,0.09618784665438564,-0.021087904301859268,1.0427413275828128,82,81,82,False,0.0,51.408397395015676,48.960165342918316,0.4495137374379798,0.546875,0.0,0.9690769143084228,-0.9982454054406167,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.5,100.0,4,uniform_noise,50.0,0.5,8e-05,20000,0.05310501145224273,0.999972348609715,0.2706160909250464,0.09634359552833176,-0.020240476812250646,1.0865415862021994,82,81,82,False,0.0,51.37269056547033,49.001540320391825,0.4315724477794573,0.55078125,0.0,0.8953714462597693,-0.9991132479446286,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.75,100.0,4,uniform_noise,50.0,0.5,8e-05,20000,0.07897419124675199,0.9999464248580904,0.27053497923415476,0.09698488694272579,-0.01951363483507902,1.1312566662233539,82,80,82,False,0.0,51.33856277745467,49.03942411347822,0.41523299351052145,0.5546875,0.0,0.8281025690276806,-0.9993997478323794,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,4,uniform_noise,50.0,0.5,8e-05,20000,0.104389926330179,0.9999093118643988,0.2704241323637211,0.09809414827996796,-0.0188889940279295,1.1770125705661696,82,79,82,False,0.0,51.30592502812856,49.07415761295095,0.40033417911031804,0.55078125,0.0,0.7666873120017318,-0.9995406969073842,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.1,0.5,0.1,100.0,5,uniform_noise,50.0,0.5,8e-05,20000,0.005403162319392574,0.9999999728519958,0.2707136035007341,0.09617490176080477,-0.021815021394138188,1.0084645563359702,82,82,82,False,0.0,51.43836890575466,48.92449541605506,0.46514795699254347,0.52734375,0.0,1.0331277880199514,-0.9912998127929027,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.25,100.0,5,uniform_noise,50.0,0.5,8e-05,20000,0.013530121302350488,0.9999815206820752,0.2707044759674664,0.09572302440509176,-0.02143598343724298,1.0212973546390842,82,82,82,False,0.0,51.42737653464494,48.93853285294957,0.4591615719308014,0.53515625,0.0,1.0085979830408187,-0.9965419634243664,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.5,100.0,5,uniform_noise,50.0,0.5,8e-05,20000,0.026767323286672296,0.9999631914308438,0.2706696102623204,0.095065001987326,-0.0208423915534128,1.0426962828660362,82,81,82,False,0.0,51.4093743404846,48.961081705669365,0.4495560286589421,0.546875,0.0,0.969189487167659,-0.9982640765173435,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.75,100.0,5,uniform_noise,50.0,0.5,8e-05,20000,0.03993912512364786,0.9999705064144847,0.27064261218447255,0.09454816775867221,-0.020293136882306086,1.06441184935816,82,81,82,False,0.0,51.39176079394013,48.98262018603925,0.44039438839937445,0.546875,0.0,0.9315491445349251,-0.9988429038985178,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,5,uniform_noise,50.0,0.5,8e-05,20000,0.05304769230010876,0.9999723768621295,0.2706161807652696,0.09417520484735081,-0.01978466285503915,1.0864400649612462,82,81,82,False,0.0,51.374525361637076,49.00320103623467,0.43165372205731745,0.55078125,0.0,0.8955942253854108,-0.9991322693494844,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.1,100.0,6,uniform_noise,50.0,0.5,8e-05,20000,0.0026656887650254716,0.9999999996490583,0.27071384725730724,0.09622104753846639,-0.021919140515597034,1.0041671328163255,82,82,82,False,0.0,51.44216604465437,48.919831227596106,0.46718576315098276,0.53125,0.0,1.0414662504654026,-0.98235687544759,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.25,100.0,6,uniform_noise,50.0,0.5,8e-05,20000,0.006764189042551523,0.9999999529212263,0.2707134537629708,0.09580913390559216,-0.02168577707804064,1.0106080047953734,82,82,82,False,0.0,51.43677607235124,48.92711428312404,0.4641482295447096,0.52734375,0.0,1.029017736070551,-0.9930768133787028,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.5,100.0,6,uniform_noise,50.0,0.5,8e-05,20000,0.013518523851390537,0.9999813754352298,0.270704489241063,0.09515356389756957,-0.02130881532857225,1.0212786970863283,82,82,82,False,0.0,51.427867642761754,48.93902417683658,0.45918140088496867,0.53515625,0.0,1.0086493724754169,-0.9965595864593935,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,0.75,100.0,6,uniform_noise,50.0,0.5,8e-05,20000,0.02014283569413221,0.9999612981123956,0.2706855926925915,0.09453046853213856,-0.020946288168093363,1.0319286234014005,82,82,82,False,0.0,51.41905174183571,48.95065524202395,0.45433149771216336,0.546875,0.0,0.9887451019463765,-0.9977061444753208,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
