alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
0.1,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,8e-05,20000,0.3682967823630214,0.997253325870433,0.2659826303035766,0.16507757744920534,-0.018811617386164957,1.7748025025939538,82,60,82,False,0.0,50.99195795144163,49.29748947947958,0.2925319550136876,0.53515625,0.0,0.33283006799239634,-0.9997809188452722,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.3,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,2.666666666666667e-05,20000,0.4140737382739793,0.9998524191370871,0.2702376331878626,0.33204173285766014,-0.020128443612923305,1.2405700028507747,82,77,82,False,0.0,51.256444182452725,49.10971129561371,0.38209001045946955,0.55078125,0.0,0.6919266301854242,-0.9996080507435862,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.5,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,1.6000000000000003e-05,20000,0.42165210358967814,0.9999418064292392,0.2705166678666315,0.5193391999786909,-0.020725528480547012,1.1407589700647516,82,80,82,False,0.0,51.32630915541401,49.04197281723297,0.41188400840211714,0.5546875,0.0,0.8146453981385008,-0.9993979789264138,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
1.0,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,8.000000000000001e-06,20000,0.42717090200598645,0.9999706431027396,0.2706367112976879,0.9975875084292474,-0.021318396259648088,1.0690433779548625,82,81,82,False,0.0,51.38366078149546,48.98273611537444,0.4384033266597648,0.546875,0.0,0.9236563894140737,-0.998858530789826,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
2.0,0.5,1.0,100.0,2,uniform_noise,50.0,0.5,4.000000000000001e-06,20000,0.43118029969819033,0.9999608302581934,0.270682002735283,1.960717654065404,-0.02167441212702126,1.034219828638256,82,82,82,False,0.0,51.41409198610356,48.94998498592297,0.45323405740230965,0.546875,0.0,0.9844442116668696,-0.9977773503572915,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,2,localized_gradient,50.0,0.5,8e-05,20000,0.0003320700312604503,0.9999995938468437,0.19501497057724135,0.1813039858189605,-0.02023374127357868,1.0005181635942904,0,0,0,False,0.0,74.97549693012661,49.988685651436484,6.745835305421278,0.7578125,0.0,0.039236627955339116,-0.8697356801899079,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.3,0.5,1.0,100.0,2,localized_gradient,50.0,0.5,2.666666666666667e-05,20000,0.00022775968902704098,0.9999998483393806,0.19501493658291727,0.5438250891063603,-0.020238589096973337,1.000118442061724,0,0,0,False,0.0,74.98567884787072,49.988685651436484,6.749455951001649,0.7578125,-5.551115123125783e-17,0.03927334755678492,-0.4303210322220581,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.5,0.5,1.0,100.0,2,localized_gradient,50.0,0.5,1.6000000000000003e-05,20000,0.00012381032750993177,0.9999997544038878,0.1950149333531298,0.9063463279164257,-0.020239560117705446,1.0000386295713586,0,0,0,False,0.0,74.98771276858928,49.988685651436484,6.750180742177697,0.7578125,-2.7755575615628914e-17,0.03928072249898577,0.7465664539003611,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
1.0,0.5,1.0,100.0,2,localized_gradient,50.0,0.5,8.000000000000001e-06,20000,-0.00013590526800027182,0.9999999345283918,0.1950149317107262,1.8126494843214704,-0.020240288703350085,0.999978799003594,0,0,0,False,0.0,74.98923767064854,49.988685651436484,6.750724480748756,0.7578125,2.7755575615628914e-17,0.03928626058994531,nan,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
2.0,0.5,1.0,100.0,2,localized_gradient,50.0,0.5,4.000000000000001e-06,20000,-0.0006552350354620275,0.9999999998337228,0.1950149311401367,3.6252558353120086,-0.020240653099163307,0.9999488929733249,0,0,0,False,0.0,74.98999994862281,49.988685651436484,6.750996396739191,0.7578125,-2.7755575615628914e-17,0.03928903185829404,nan,False,False,False,True,False,transition -> thinning,,50.0,256,0.4,42
0.1,0.5,1.0,100.0,2,random,50.0,0.3,8e-05,20000,0.30083248069089086,0.9919805768329369,7.876700962750421,-0.021086727657868242,2.881072346751158,1.6116136393019938,82,60,82,False,0.0078125,92.97307334578696,30.855220589565675,9.890838686135327,0.63671875,2.7755575615628914e-17,14.399826903400914,-1.031220947268962,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.3,0.5,1.0,100.0,2,random,50.0,0.3,2.666666666666667e-05,20000,0.37913786335317723,0.9983983134724665,8.076509037454976,-0.027737157156670075,1.5981048551498522,1.2191926688761947,82,77,82,False,0.0078125,93.48211091716334,28.604382630989264,11.86105652747234,0.57421875,1.942890293094024e-16,22.20803119732984,-1.0325857331376014,True,False,False,False,False,transition -> inflation,,50.0,256,0.4,42
0.5,0.5,1.0,100.0,2,random,50.0,0.3,1.6000000000000003e-05,20000,0.40159834549504886,0.9992386200775731,8.10104251153697,-0.02986392929572232,1.1025595168204325,1.1342476615571155,82,80,82,False,0.0078125,93.5726088401152,25.617469765500424,12.550772689478151,0.56640625,2.7755575615628914e-16,25.107243393092606,-1.0331221073597905,False,False,False,False,False,transition,,50.0,256,0.4,42
1.0,0.5,1.0,100.0,2,random,50.0,0.3,8.000000000000001e-06,20000,0.42331911123738153,0.9995935035605538,8.11423741271214,-0.03150811159683841,0.6152951730304168,1.0684286265941885,82,81,82,False,0.0078125,93.63746596945636,22.396593083553356,13.214697247791829,0.5625,1.6653345369377348e-16,27.902948886505943,-1.033152599753714,False,False,False,False,False,transition,,50.0,256,0.4,42
2.0,0.5,1.0,100.0,2,random,50.0,0.3,4.000000000000001e-06,20000,0.43908070549132483,0.9998455779213439,8.119273484890297,-0.03167955739549303,0.3191267537734746,1.034881948015569,82,81,82,False,0.0078125,93.66890065746111,20.307636132918972,13.615049195362117,0.5546875,-1.6653345369377348e-16,29.578581201996897,-1.03213645186425,False,False,False,False,False,transition,,50.0,256,0.4,42
