alpha,gamma_exp,M_0,rho_max,n_mob,ic_mode,rho_mean_ic,noise_amplitude,eta,n_steps,lambda_1,lambda_1_r2,G0_fit,lambda_2,total_rho_change_pct,scale_factor_ratio,basins_initial,basins_final,basins_max,basins_grew,horizon_frac,rho_final_max,rho_final_min,rho_final_std,lap_pos_frac,lap_mean,lap_std,w_eff,has_inflation,has_structure_formation,has_residual_gradient,has_thinning,has_heat_death,phase_sequence,error,rho_mean,N,cfl_safety,seed
0.1,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,3.9999999999999974e-08,20000,0.43972678683694316,0.9999999998507895,0.2707138335975083,-0.033468727012164856,3.82666967390194e-06,1.0003430457204607,82,82,82,False,0.0,51.45660781551971,48.92671786784733,0.4690160797904186,0.53125,0.0,1.0490649520337303,-1.0000372024145614,False,False,False,False,False,transition,,50.0,256,0.4,42
0.2,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,1.9999999999999987e-08,20000,0.439731620901383,0.9999999999627047,0.27071383411980904,-0.029436676232995663,1.6831197526992618e-06,1.0001715100383362,82,82,82,False,0.0,51.45676939245415,48.92653658712753,0.46909910125862636,0.53125,0.0,1.0494039056770441,-1.000032720198569,False,False,False,False,False,transition,,50.0,256,0.4,42
0.4,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,9.999999999999994e-09,20000,0.4397260597996542,0.9999999999906974,0.27071383425037826,-0.021364491821714064,6.108380087801342e-07,1.0000857502579694,82,82,82,False,0.0,51.45685019331522,48.92644592331443,0.4691406238979924,0.53125,0.0,1.049573429243772,-1.0000237479004053,False,False,False,False,False,transition,,50.0,256,0.4,42
0.6,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,6.6666666666666635e-09,20000,0.4397171131476129,0.9999999999958634,0.27071383427454354,-0.013290532728966168,2.533360698662155e-07,1.0000571648589107,82,82,82,False,0.0,51.45687712877219,48.92641569856806,0.4691544665417086,0.53125,0.0,1.0496299440259775,-1.0000147735163554,False,False,False,False,False,transition,,50.0,256,0.4,42
0.8,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,4.999999999999997e-09,20000,0.4397073315973059,0.9999999999976162,0.27071383428294016,-0.005216077447267525,7.457034324982167e-08,1.0000428723840182,82,82,82,False,0.0,51.45689059684441,48.92640058554308,0.46916138819473124,0.53125,0.0,1.0496582027159067,-1.000005798226549,False,False,False,False,False,transition,,50.0,256,0.4,42
1.0,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,3.999999999999998e-09,20000,0.4396971999496449,0.9999999999985419,0.2707138342870708,0.00285845724836668,-3.269245359910422e-08,1.0000342969690355,82,82,82,False,0.0,51.45689867779961,48.92639151752026,0.4691655412924627,0.53125,0.0,1.0496751583454562,-0.9999968224466034,False,False,False,False,True,heat_death,,50.0,256,0.4,42
1.2,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,3.3333333333333317e-09,20000,0.43968687692796604,0.9999999999989438,0.2707138342890382,0.010933184550211297,-1.0420384243195584e-07,1.0000285800550575,82,82,82,False,0.0,51.45690406514485,48.926385472083204,0.4691683100685678,0.53125,0.0,1.049686462271679,-0.9999878460336002,False,False,False,False,True,heat_death,,50.0,256,0.4,42
1.4,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,2.857142857142856e-09,20000,0.4396764499405954,0.9999999999992653,0.2707138342904472,0.019007906012224227,-1.5528385879433764e-07,1.000024496558951,82,82,82,False,0.0,51.45690791327542,48.9263811538729,0.46917028778698094,0.53125,0.0,1.0496945365891073,-0.9999788692005841,False,False,False,False,True,heat_death,,50.0,256,0.4,42
1.7,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,2.352941176470587e-09,20000,0.43966076123157816,0.9999999999994098,0.2707138342911847,0.03112033418746474,-2.0937136433576733e-07,1.0000201728743132,82,82,82,False,0.0,51.4569119877819,48.92637658161013,0.46917238186194404,0.53125,0.0,1.0497030859437477,-0.999965402764274,False,False,False,False,True,heat_death,,50.0,256,0.4,42
2.0,0.1,1.0,100.0,2,uniform_noise,50.0,0.5,1.999999999999999e-09,20000,0.4396450440363993,0.9999999999996543,0.27071383429211904,0.043232278887306456,-2.472301316760642e-07,1.000017146304115,82,82,82,False,0.0,51.45691483995069,48.92637338100346,0.46917384772473325,0.53125,0.0,1.0497090705407854,-0.9999519359012622,False,False,False,False,True,heat_death,,50.0,256,0.4,42
